409154	435528	0
409151	435683	0
409277	435420	0
409260	435538	0
409240	435695	0
409213	435897	0
409199	435982	0
409178	436078	0
409174	436171	0
409147	436256	12
409469	435389	0
409378	435463	0
409378	435563	0
409351	435734	0
409328	435891	0
409275	435982	0
409289	436065	0
409272	436188	0
409208	436263	0
409754	435326	0
409609	435201	0
409565	435307	0
409577	435510	0
409515	435614	0
409478	435707	0
409442	435810	2
409442	435913	0
409408	436075	5
409344	436201	0
409398	436213	0
409638	435143	7
409683	435349	0
409670	435514	0
409620	435615	0
409688	435618	0
409624	435752	0
409570	435942	0
409541	436090	0
409512	436236	0
409216	435826	12
409158	435820	0
408777	434870	0
408731	434657	0
408808	434639	0
408840	435022	0
408932	434976	0
408897	434650	0
409050	434674	0
409033	434769	6
408906	434723	0
409262	434873	0
409090	434982	0
409020	435056	0
409262	435017	0
409210	435093	0
409109	435153	0
409192	435244	0
409298	435127	0
409302	435225	0
409264	435295	0
409372	434355	0
409426	434622	0
409452	434831	0
409553	435074	0
409434	435030	0
409479	434592	0
409517	434818	0
409539	434954	0
409038	435235	0
409167	435416	0
408778	434739	0
409411	434362	0
409822	435466	0
409811	435545	0
409765	435617	0
409812	435857	0
409792	435978	13
409837	436155	0
409711	436281	0
409969	435509	0
