50	60	72	25.6	30.7	36.8
4	4.8	5.8	2	2.5	2.9
33	39.6	47.5	16.9	20.2	24.3
15	18	21.6	7.7	9.2	11
1	1.2	1.4	0.5	0.6	0.7
5	6	7.2	2.6	3.1	3.7
87	104.4	125.3	44.5	53.3	64
91	109.2	131	46.5	55.8	67
45	54	64.8	23	27.6	33.1
1	1.2	1.4	0.5	0.6	0.7
41	49.2	59	21	25.1	30.2
23	27.6	33.1	11.8	14.1	16.9
26	31.2	37.4	13.3	15.9	19.1
301	361.2	433.4	153.8	184.6	221.5
53	63.6	76.3	27.1	32.5	39
1	1.2	1.4	0.5	0.6	0.7
80	96	115.2	40.9	49.1	58.9
118	141.6	169.9	60.3	72.4	86.8
1	1.2	1.4	0.5	0.6	0.7
1	1.2	1.4	0.5	0.6	0.7
15	18	21.6	7.7	9.2	11
12	14.4	17.3	6.1	7.4	8.8
60	72	86.4	30.7	36.8	44.2
35	42	50.4	17.9	21.5	25.8
138	165.6	198.7	70.5	84.6	101.5
1	1.2	1.4	0.5	0.6	0.7
173	207.6	249.1	88.4	106.1	127.3
61	73.2	87.8	31.2	37.4	44.9
1	1.2	1.4	0.5	0.6	0.7
21	25.2	30.2	10.7	12.9	15.5
8	9.6	11.5	4.1	4.9	5.9
18	21.6	25.9	9.2	11	13.2
35	42	50.4	17.9	21.5	25.8
17	20.4	24.5	8.7	10.4	12.5
22	26.4	31.7	11.2	13.5	16.2
60	72	86.4	30.7	36.8	44.2
65	78	93.6	33.2	39.9	47.8
54	64.8	77.8	27.6	33.1	39.7
39	46.8	56.2	19.9	23.9	28.7
1	1.2	1.4	0.5	0.6	0.7
